id,item_name,checked,user_id,category_id,shop_id
1,食器用洗剤,true,1,1,2
2,白ビニール袋（中）,true,1,1,2
3,セスキ,true,1,1,2
4,クエン酸,true,1,1,2
5,重曹,true,1,1,2
6,さよならヌメリ,true,1,1,2
7,排水口ネット,true,1,1,2
8,弁当抗菌シート,true,1,1,2
9,ラップ,true,1,1,2
10,ホイル,true,1,1,2
11,キッチンペーパー,true,1,1,2
12,可燃ゴミ袋,true,1,1,2
13,資源ゴミ袋,true,1,1,2
14,保存用ごはん,true,1,1,2
15,サラダ油,true,1,1,2
16,オリーブオイル,true,1,1,1
17,パン粉,true,1,1,1
18,小麦粉,true,1,1,1
19,片栗粉,true,1,1,1
20,食塩,true,1,1,1
21,砂糖,true,1,1,1
22,コショウ,true,1,1,1
23,しょうゆ,true,1,1,1
24,マヨネーズ,true,1,1,1
25,ドレッシング,true,1,1,1
26,ケチャップ,true,1,1,1
27,お酢,true,1,1,1
28,出汁つゆ,true,1,1,1
29,野菜ブイヨン,true,1,1,3
30,卵,true,1,1,1
31,牛乳,true,1,1,1
32,ヨーグルト,true,1,1,1
33,納豆,true,1,1,1
34,味噌,true,1,1,1
35,ハム,true,1,1,1
36,豚肉,true,1,1,1
37,豚ミンチ,true,1,1,1
38,鶏肉,true,1,1,1
39,鶏ミンチ,true,1,1,1
40,冷凍食品,true,1,1,1
41,キャベツ,true,1,1,1
42,トマト,true,1,1,1
43,きゅうり,true,1,1,1
44,なす,true,1,1,1
45,ピーマン,true,1,1,1
46,オクラ,true,1,1,1
47,ニンジン,true,1,1,1
48,玉ねぎ,true,1,1,1
49,もやし,true,1,1,1
50,ジャガイモ,true,1,1,1
51,大根,true,1,1,1
52,春菊,true,1,1,1
53,白菜,true,1,1,1
54,ほうれん草,true,1,1,1
55,えのき,true,1,1,1
56,しめじ,true,1,1,1
57,生姜,true,1,1,1
58,イチゴ,true,1,1,1
59,バナナ,true,1,1,1
60,みかん,true,1,1,1
61,緑茶,true,1,1,3
62,麦茶,true,1,1,2
63,紅茶,true,1,1,1
64,ティッシュ,true,1,2,2
65,クイックルワイパー,true,1,2,2
66,コロコロ,true,1,2,2
67,マスク,true,1,2,2
68,おむつ,true,1,2,2
69,おむつ用ビニール袋,true,1,2,2
70,おしり拭きコットン,true,1,2,2
71,歯磨き粉,true,1,3,3
72,歯ブラシ,true,1,3,2
73,フロス,true,1,3,2
74,シャンプー,true,1,3,2
75,リンス,true,1,3,2
76,お風呂せっけん,true,1,3,2
77,ハンドソープ,true,1,3,2
78,バスマジックリン,true,1,3,2
79,洗濯用洗剤,true,1,3,2
80,酸素系漂白剤,true,1,3,2
81,洗濯機クリーナー,true,1,3,2
82,トイレットペーパー,true,1,3,2
83,トイレ用洗剤,true,1,3,2
84,トイレクイックル,true,1,3,2
85,生理用品,true,1,3,2
86,換気扇フィルター,true,1,3,2